"File","WidthPx","HeightPx","DpiX","DpiY","AlphaChannel","GreenLeakSamplePixels","SizeMB","Sha256"
"production/brand-marks/architecture-star-bone.png","1800","1800","300","300","True","0","0.03","9703318a8654f3b5910768565906ebe891962300ea7f0d842f9de590246f8e08"
"production/brand-marks/architecture-star-charcoal.png","1800","1800","300","300","True","0","0.03","801b9b624fdbf44211e9a8634186419c7cb2a197a8e4178d72ff4ff1509da217"
"production/brand-marks/ouroboros-bone.png","1800","1800","300","300","True","0","0.05","b92ffe50a79c0f2ef71cba94358ae927dc4b4ec560a6c880d5ea390c78159f6d"
"production/brand-marks/ouroboros-charcoal.png","1800","1800","300","300","True","0","0.05","8051bd619c98446948ef5a7ec931898cb5bd0f729675cdbcca5c7ab375f61bc8"
"production/embroidery/cap-prison-front-embroidery-source.png","2400","1200","300","300","True","0","0.03","5503a5b0ed27ad9a7a44d205fc6cd404cc1e1b28f4a7f23b984c9366252d1789"
"production/embroidery/cap-prison-rear-embroidery-source.png","2400","1200","300","300","True","0","0.05","0f2d96c690a05c73bc41f0866d66cfd208322c84a8ddfa173ea0dfe28dcd0acc"
"production/embroidery/cap-unavailable-front-embroidery-source.png","2400","1200","300","300","True","0","0.04","a6249fb93111c0a72f0ca04f653e0cb711a61ad56bb5e5c64ce8b6cf75f6e180"
"production/embroidery/cap-unavailable-rear-embroidery-source.png","2400","1200","300","300","True","0","0.05","ab26ca20d9eccc1d524b04d9afbe72cbfe926011f881af2c2d510b272309c9ca"
"production/patterns/architecture-socks-black-seamless-tile.png","2400","2400","300","300","True","0","0.11","d25aebe652f8382bc342a5e5561c82dff5fa5cb92fe892225dd5fcee216607fa"
"production/patterns/architecture-socks-bone-seamless-tile.png","2400","2400","300","300","True","0","0.11","1b23c2b898863b401477c745314e68b1175e1e4c968fc2910e37ea562084eb17"
"production/print/01-embrace-the-chaos-front-dark-garment.png","3600","3000","300","300","True","0","0.11","e4949891b269eb7cc76c05bff75fb47c2b338b0c8c204565dea47355b9974668"
"production/print/01-embrace-the-chaos-front-light-garment.png","3600","3000","300","300","True","0","0.11","8d325a9cd0268f98a965b08bacb8f0a5ff8dd1501db79c6026687633cbd6f648"
"production/print/02-break-the-loop-front-dark-garment.png","3600","3000","300","300","True","0","0.11","e211a09a74151ecdf03ebacbcb8f393f2cff326b5d8151e5773a6239babc30eb"
"production/print/02-break-the-loop-front-light-garment.png","3600","3000","300","300","True","0","0.11","8d91f009b3e6e937662bdc6f7274f13aa79246eb492c637c26ac4aaf22a08b3b"
"production/print/03-rebuild-yourself-back-dark-garment.png","4500","5400","300","300","True","0","7.64","ae93aadcfde80fb7cfe4e2ac02fc4650e30a44a183abce712dd1236fab5699ab"
"production/print/03-rebuild-yourself-back-light-garment.png","4500","5400","300","300","True","0","5.68","88d4923c3fad5eaa49bf99975b9c3f7132c6aaf4db2fa25068a8dd758650d750"
"production/print/04-face-what-you-hide-back-dark-garment.png","4500","5400","300","300","True","0","6.3","c9515b31388dd0a9d1dd3e57e6f0e6de2563b2ce178954e42cdd4bc446c27303"
"production/print/04-face-what-you-hide-back-light-garment.png","4500","5400","300","300","True","0","4.61","3f3c17e82b6ab5183b45d1a1a060850331ca6f185f43180dfa00071024c4563b"
"production/print/05-nothing-is-permanent-back-dark-garment.png","4500","5400","300","300","True","0","6.31","d7e00dd3c0765b736bfbd626dac090d5e443d56ae3b0e0efcdf0d4139fd0c53c"
"production/print/05-nothing-is-permanent-back-light-garment.png","4500","5400","300","300","True","0","4.61","8c76d5f4e68b409b21450b0b2bde052adf1887d76ac6491e535152b66d411793"
"production/stickers/sticker-01-emotions-are-architecture.png","2400","2400","300","300","True","0","0.11","c706660028c5fb6d2573f1d9405aca0fa7e8b46c2520478e99e434acb66617d2"
"production/stickers/sticker-02-face-what-you-hide.png","2400","2400","300","300","True","0","1.16","d640c79eefd9d23be6e816c15b27a73a40caea0e744bfe9101ceba29d306d8f3"
"production/stickers/sticker-03-break-the-loop.png","2400","2400","300","300","True","0","0.11","3ae35749409b75294f05fb643b76b2c44443f3626b0950389158bca31a30dffd"
"production/stickers/sticker-04-nothing-is-permanent.png","2400","2400","300","300","True","0","0.11","b748d24084840bd10d2cf32c062ac1b07a3cccc97fd84feeacdb4173ddcf3bf1"
